Exclusive
58644474
67127205
44146393
42603905
62581492
56882583
41493915
47501564
51916049
46186917
49403322
41940889
53013600
58927672
51950899
34090673
44007623
62926376
54332258
36485686
31162289
30683315
19510011
34811451
23067572
28829969
40439691
34173243
35516582
36866026
36230192
35883952
32022672
31366235
25475412
37399590
29791605
41686597
36513144
34245359
Exclusive
146125
66555
135976
153667
113797
107516
63289
31361
80334
133079
144589
134892
61752
56522
71928
18110
135978
144950
113412
104348
54630
70114
75360
91839
90275
76700
48921
57029
113308
113837
102303
72854
55568
30800
62348
51281
33996
19784
50581
75944
Exclusive
53032202
39019118
48664016
34968463
24561050
34518747
51928212
43960441
45274239
26486433
36303958
38392081
34067571
63929023
46193290
53127620
36000050
30920630
52777050
39508497
42823336
30051417
39278277
29683379
41452474
45332091
27116502
31797268
33351515
44732037
37853435
46490175
31986351
27198116
38130140
35903301
41938312
49925594
46751338
56301858
Exclusive
265814
184348
68393
15304
106948
58677
101992
32304
84604
47325
71326
179402
36760
120896
123808
61046
33859
111385
49068
122849
44425
63399
69791
117440
93788
38320
138453
92299
174699
84458
152741
111268
81332
63298
44396
77627
82397
76039
91529
61396
Exclusive
50525655
263148470
259285873
253764336
234416121
275827290
200747661
255446930
319573994
256990366
258851693
224462126
183740602
338657088
199912359
309552941
271977739
226940016
225261566
211455852
151505355
156940745
151306798
199664828
204239598
212760027
140469137
146603577
152599154
145113500
134388697
214433612
152105295
162541328
174715275
185683679
206907919
163468720
156057327
123982249
Exclusive
63815802
57752898
60916485
69673099
56472275
61297742
64918943
66421397
69981946
66527914
70456063
75931662
55977054
56522174
55871409
38627196
63199028
82968993
54550573
73474422
41188631
66154404
50701916
50440318
57017460
43687061
43060713
39983804
53002906
51460202
36773544
39405498
47727405
57747257
42721851
48706760
58579745
29521802
28006245
39972953
Exclusive
61775055.782608695
66059480.428571425
61335507.0
63358671.347826086
64063700.13636363
61979108.08695652
67186304.7
77845885.21052632
77838621.4736842
54399174.16
65513169.52380952
57640770.333333336
61465600.91304348
61479543.52380952
65192958.0952381
67980465.71428572
66127327.0952381
71198500.78947368
64215278.27272727
61178898.5
65848689.63636363
63744635.347826086
64501208.22727273
79346589.1111111
62440725.041666664
65033705.27272727
75479646.21052632
73704614.89473684
64427792.86363637
66940919.75
70483813.55
63308654.90909091
63997832.47826087
69861794.55
69989300.65
69901875.5
63088948.72727273
62938926.60869565
72702913.9
8137728.1
Exclusive
5227385.333333333
3609599.1052631577
4128842.210526316
5059733.733333333
4831955.375
5685987.333333333
4603584.266666667
4293492.933333334
3097945.904761905
3930934.0
4154559.8333333335
3850905.4782608696
4623627.3125
3241830.24
4640688.0
3408092.619047619
3848253.590909091
2904818.086956522
4021554.2
4438835.0
4402746.8
4353889.55
3536832.0
4149016.8235294116
4715177.714285715
3650830.1428571427
4126009.55
4027630.4444444445
4609177.571428572
4884178.882352941
3652074.4285714286
5512504.5
4884141.444444444
4378103.833333333
3176582.25
3564439.714285714
3695463.2916666665
3916414.15
4142481.888888889
1134132.25
